entity,code,year,per_capita_embodied_emissions
Australia,AUS,2013,0.5242982
Austria,AUT,2013,0.35320053
Belgium,BEL,2013,0.97073656
Brazil,BRA,2013,2.7096047
Bulgaria,BGR,2013,0.088905394
Canada,CAN,2013,0.36339942
China,CHN,2013,0.13878058
Croatia,HRV,2013,0.12014252
Cyprus,CYP,2013,0.23136593
Czechia,CZE,2013,0.19641341
Denmark,DNK,2013,0.4985995
Estonia,EST,2013,0.3898701
Finland,FIN,2013,0.3948004
France,FRA,2013,0.4231423
Germany,DEU,2013,0.5106974
Greece,GRC,2013,0.243887
Hungary,HUN,2013,0.11009871
India,IND,2013,0.08373072
Indonesia,IDN,2013,1.2387404
Ireland,IRL,2013,0.45867214
Italy,ITA,2013,0.42557302
Japan,JPN,2013,0.3801927
Latvia,LVA,2013,0.70934427
Lithuania,LTU,2013,0.20351171
Luxembourg,LUX,2013,2.7797666
Malta,MLT,2013,0.3198645
Mexico,MEX,2013,0.31782898
Netherlands,NLD,2013,0.9530305
Norway,NOR,2013,0.7115849
Poland,POL,2013,0.14517722
Portugal,PRT,2013,0.30804273
Romania,ROU,2013,0.068817586
Russia,RUS,2013,0.29164952
Slovakia,SVK,2013,0.20032346
Slovenia,SVN,2013,0.4738888
South Africa,ZAF,2013,0.08777975
South Korea,KOR,2013,0.42351115
Spain,ESP,2013,0.4200894
Sweden,SWE,2013,0.4097284
Switzerland,CHE,2013,0.6448465
Taiwan,TWN,2013,1.0841417
Turkey,TUR,2013,0.18818998
United Kingdom,GBR,2013,0.39124653
United States,USA,2013,0.34654272
